Date,Starting Balance ($),Ending Balance ($),Daily PnL ($),Daily Profit/Loss (%),Total Trades,Wins,Losses,Win Rate (%),Status
2026-08-17,"$5,000.00","$4,975.05",$-24.95,-0.50%,1,0,1,0.0%,LOSS 🔴
2026-08-17,"$5,000.00","$4,950.09",$-49.91,-1.00%,2,0,2,0.0%,LOSS 🔴
2026-08-17,"$5,000.00","$4,925.13",$-74.87,-1.50%,3,0,3,0.0%,LOSS 🔴
2026-08-22,"$5,000.00","$4,999.93",$-0.07,-0.00%,1,0,1,0.0%,LOSS 🔴
2026-08-22,"$5,000.00","$5,000.13",+$0.13,+0.00%,2,1,1,50.0%,PROFIT 🟢
2026-TEST-1787433447,"$5,000.00","$5,000.13",+$0.13,+0.00%,2,1,1,50.0%,PROFIT 🟢
2026-TEST-LOSS-1787433448,"$5,000.00","$5,000.13",+$0.13,+0.00%,2,1,1,50.0%,PROFIT 🟢
2026-TEST-1787433463,"$5,000.00","$5,000.13",+$0.13,+0.00%,2,1,1,50.0%,PROFIT 🟢
2026-TEST-LOSS-1787433464,"$5,000.00","$5,000.13",+$0.13,+0.00%,2,1,1,50.0%,PROFIT 🟢
2026-08-22,"$5,000.00","$4,999.86",$-0.14,-0.00%,1,0,1,0.0%,LOSS 🔴
2026-08-22,"$5,000.00","$4,999.96",$-0.04,-0.00%,2,1,1,50.0%,LOSS 🔴
2026-08-22,"$5,000.00","$4,999.97",$-0.03,-0.00%,3,2,1,66.7%,LOSS 🔴
2026-08-23,"$5,000.00","$4,999.90",$-0.10,-0.00%,1,0,1,0.0%,LOSS 🔴
2026-08-23,"$5,000.00","$4,999.76",$-0.24,-0.00%,2,0,2,0.0%,LOSS 🔴
2026-08-23,"$5,000.00","$4,999.61",$-0.39,-0.01%,3,0,3,0.0%,LOSS 🔴
2026-08-23,"$5,000.00","$4,999.47",$-0.53,-0.01%,4,0,4,0.0%,LOSS 🔴
2026-08-23,"$5,000.00","$4,999.34",$-0.66,-0.01%,5,0,5,0.0%,LOSS 🔴
2026-08-23,"$5,000.00","$4,999.39",$-0.61,-0.01%,6,1,5,16.7%,LOSS 🔴
2026-08-23,"$5,000.00","$4,999.48",$-0.52,-0.01%,7,2,5,28.6%,LOSS 🔴
2026-08-23,"$5,000.00","$4,999.51",$-0.49,-0.01%,8,3,5,37.5%,LOSS 🔴
2026-08-23,"$5,000.00","$4,999.58",$-0.42,-0.01%,9,4,5,44.4%,LOSS 🔴
2026-08-23,"$5,000.00","$4,999.69",$-0.31,-0.01%,10,5,5,50.0%,LOSS 🔴
2026-08-23,"$5,000.00","$4,999.71",$-0.29,-0.01%,11,6,5,54.5%,LOSS 🔴
2026-08-23,"$5,000.00","$5,020.35",+$20.35,+0.41%,3018,1611,1407,53.4%,PROFIT 🟢
2026-08-23,"$5,000.00","$5,020.21",+$20.21,+0.40%,3019,1611,1408,53.4%,PROFIT 🟢
2026-08-23,"$5,000.00","$5,020.37",+$20.37,+0.41%,3020,1612,1408,53.4%,PROFIT 🟢
2026-08-23,"$5,000.00","$5,065.39",+$65.39,+1.31%,3021,1613,1408,53.4%,PROFIT 🟢
2026-08-23,"$5,000.00","$5,110.17",+$110.17,+2.20%,3022,1614,1408,53.4%,PROFIT 🟢
2026-08-23,"$5,000.00","$5,155.21",+$155.21,+3.10%,3023,1615,1408,53.4%,PROFIT 🟢
2026-08-23,"$5,000.00","$5,199.30",+$199.30,+3.99%,3024,1616,1408,53.4%,PROFIT 🟢
2026-08-23,"$5,000.00","$5,244.09",+$244.09,+4.88%,3025,1617,1408,53.5%,PROFIT 🟢
2026-08-23,"$5,000.00","$5,287.68",+$287.68,+5.75%,3026,1618,1408,53.5%,PROFIT 🟢
2026-08-23,"$5,000.00","$5,332.69",+$332.69,+6.65%,3027,1619,1408,53.5%,PROFIT 🟢
2026-08-23,"$5,000.00","$5,377.71",+$377.71,+7.55%,3028,1620,1408,53.5%,PROFIT 🟢
2026-08-23,"$5,000.00","$5,377.77",+$377.77,+7.56%,3029,1621,1408,53.5%,PROFIT 🟢
2026-08-23,"$5,000.00","$5,377.63",+$377.63,+7.55%,3030,1621,1409,53.5%,PROFIT 🟢
2026-08-23,"$5,000.00","$5,377.79",+$377.79,+7.56%,3031,1622,1409,53.5%,PROFIT 🟢
2026-08-23,"$5,000.00","$5,377.81",+$377.81,+7.56%,3032,1623,1409,53.5%,PROFIT 🟢
2026-08-23,"$5,000.00","$5,377.89",+$377.89,+7.56%,3033,1624,1409,53.5%,PROFIT 🟢
2026-08-23,"$5,000.00","$5,377.76",+$377.76,+7.56%,3034,1624,1410,53.5%,PROFIT 🟢
2026-08-23,"$5,000.00","$5,377.82",+$377.82,+7.56%,3035,1625,1410,53.5%,PROFIT 🟢
2026-08-23,"$5,000.00","$5,377.88",+$377.88,+7.56%,3036,1626,1410,53.6%,PROFIT 🟢
2026-08-23,"$5,000.00","$5,377.94",+$377.94,+7.56%,3037,1627,1410,53.6%,PROFIT 🟢
2026-08-23,"$5,000.00","$5,377.97",+$377.97,+7.56%,3038,1628,1410,53.6%,PROFIT 🟢
2026-08-23,"$5,000.00","$5,377.84",+$377.84,+7.56%,3039,1628,1411,53.6%,PROFIT 🟢
2026-08-23,"$5,000.00","$5,377.93",+$377.93,+7.56%,3040,1629,1411,53.6%,PROFIT 🟢
2026-08-23,"$5,000.00","$5,378.00",+$378.00,+7.56%,3041,1630,1411,53.6%,PROFIT 🟢
2026-08-23,"$5,000.00","$5,378.06",+$378.06,+7.56%,3042,1631,1411,53.6%,PROFIT 🟢
2026-08-23,"$5,000.00","$5,377.92",+$377.92,+7.56%,3043,1631,1412,53.6%,PROFIT 🟢
2026-08-23,"$5,000.00","$5,378.03",+$378.03,+7.56%,3044,1632,1412,53.6%,PROFIT 🟢
2026-08-23,"$5,000.00","$5,378.08",+$378.08,+7.56%,3045,1633,1412,53.6%,PROFIT 🟢
2026-08-23,"$5,000.00","$5,378.34",+$378.34,+7.57%,3047,1635,1412,53.7%,PROFIT 🟢
2026-08-23,"$5,000.00","$5,378.34",+$378.34,+7.57%,3047,1635,1412,53.7%,PROFIT 🟢
2026-08-23,"$5,000.00","$5,378.49",+$378.49,+7.57%,3049,1637,1412,53.7%,PROFIT 🟢
2026-08-23,"$5,000.00","$5,378.49",+$378.49,+7.57%,3049,1637,1412,53.7%,PROFIT 🟢
2026-08-23,"$5,000.00","$5,378.58",+$378.58,+7.57%,3050,1638,1412,53.7%,PROFIT 🟢
2026-08-23,"$5,000.00","$5,378.62",+$378.62,+7.57%,3051,1639,1412,53.7%,PROFIT 🟢
2026-08-23,"$5,000.00","$5,378.65",+$378.65,+7.57%,3052,1640,1412,53.7%,PROFIT 🟢
2026-08-23,"$5,000.00","$5,378.70",+$378.70,+7.57%,3053,1641,1412,53.8%,PROFIT 🟢
2026-08-23,"$5,000.00","$5,378.75",+$378.75,+7.58%,3054,1642,1412,53.8%,PROFIT 🟢
2026-08-23,"$5,000.00","$5,378.80",+$378.80,+7.58%,3055,1643,1412,53.8%,PROFIT 🟢
2026-08-23,"$5,000.00","$5,378.85",+$378.85,+7.58%,3056,1644,1412,53.8%,PROFIT 🟢
2026-08-23,"$5,000.00","$5,378.72",+$378.72,+7.57%,3057,1644,1413,53.8%,PROFIT 🟢
2026-08-23,"$5,000.00","$5,378.77",+$378.77,+7.58%,3058,1645,1413,53.8%,PROFIT 🟢
2026-08-23,"$5,000.00","$5,378.94",+$378.94,+7.58%,3059,1646,1413,53.8%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,000.05",+$0.05,+0.00%,1,1,0,100.0%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,002.22",+$2.22,+0.04%,13,2,11,15.4%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,002.30",+$2.30,+0.05%,14,3,11,21.4%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,002.47",+$2.47,+0.05%,15,4,11,26.7%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,002.33",+$2.33,+0.05%,16,4,12,25.0%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,002.20",+$2.20,+0.04%,17,4,13,23.5%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,002.06",+$2.06,+0.04%,18,4,14,22.2%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,002.27",+$2.27,+0.05%,19,5,14,26.3%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,002.31",+$2.31,+0.05%,20,6,14,30.0%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,002.32",+$2.32,+0.05%,21,7,14,33.3%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,002.18",+$2.18,+0.04%,22,7,15,31.8%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,002.04",+$2.04,+0.04%,23,7,16,30.4%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,001.91",+$1.91,+0.04%,24,7,17,29.2%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,001.77",+$1.77,+0.04%,25,7,18,28.0%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,001.64",+$1.64,+0.03%,26,7,19,26.9%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,001.85",+$1.85,+0.04%,27,8,19,29.6%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,001.71",+$1.71,+0.03%,28,8,20,28.6%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,001.86",+$1.86,+0.04%,29,9,20,31.0%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,001.95",+$1.95,+0.04%,30,10,20,33.3%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,001.82",+$1.82,+0.04%,31,10,21,32.3%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,002.16",+$2.16,+0.04%,48,21,27,43.8%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,001.95",+$1.95,+0.04%,49,21,28,42.9%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,001.80",+$1.80,+0.04%,50,21,29,42.0%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,001.58",+$1.58,+0.03%,51,21,30,41.2%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,001.79",+$1.79,+0.04%,52,22,30,42.3%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,001.65",+$1.65,+0.03%,53,22,31,41.5%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,001.85",+$1.85,+0.04%,54,23,31,42.6%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,001.77",+$1.77,+0.04%,55,23,32,41.8%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,001.91",+$1.91,+0.04%,56,24,32,42.9%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,001.78",+$1.78,+0.04%,57,24,33,42.1%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,001.57",+$1.57,+0.03%,58,24,34,41.4%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,001.77",+$1.77,+0.04%,59,25,34,42.4%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,001.91",+$1.91,+0.04%,60,26,34,43.3%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,002.50",+$2.50,+0.05%,61,27,34,44.3%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,002.36",+$2.36,+0.05%,62,27,35,43.5%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,002.54",+$2.54,+0.05%,63,28,35,44.4%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,002.77",+$2.77,+0.06%,64,29,35,45.3%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,002.84",+$2.84,+0.06%,65,30,35,46.2%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,003.09",+$3.09,+0.06%,66,31,35,47.0%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,003.30",+$3.30,+0.07%,67,32,35,47.8%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,003.16",+$3.16,+0.06%,68,32,36,47.1%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,003.01",+$3.01,+0.06%,69,32,37,46.4%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,003.09",+$3.09,+0.06%,70,33,37,47.1%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,003.02",+$3.02,+0.06%,71,33,38,46.5%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,003.27",+$3.27,+0.07%,72,34,38,47.2%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,005.98",+$5.98,+0.12%,73,35,38,47.9%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,006.23",+$6.23,+0.12%,74,36,38,48.6%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,006.47",+$6.47,+0.13%,75,37,38,49.3%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,006.82",+$6.82,+0.14%,76,38,38,50.0%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,007.07",+$7.07,+0.14%,77,39,38,50.6%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,006.91",+$6.91,+0.14%,78,39,39,50.0%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,007.18",+$7.18,+0.14%,79,40,39,50.6%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,009.90",+$9.90,+0.20%,80,41,39,51.2%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,009.72",+$9.72,+0.19%,81,41,40,50.6%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,010.05",+$10.05,+0.20%,82,42,40,51.2%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,009.80",+$9.80,+0.20%,83,42,41,50.6%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,009.67",+$9.67,+0.19%,84,42,42,50.0%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,009.53",+$9.53,+0.19%,85,42,43,49.4%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,009.19",+$9.19,+0.18%,86,42,44,48.8%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,009.08",+$9.08,+0.18%,92,42,50,45.7%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,008.98",+$8.98,+0.18%,93,42,51,45.2%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,008.84",+$8.84,+0.18%,94,42,52,44.7%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,009.27",+$9.27,+0.19%,95,43,52,45.3%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,009.13",+$9.13,+0.18%,96,43,53,44.8%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,009.00",+$9.00,+0.18%,97,43,54,44.3%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,008.81",+$8.81,+0.18%,101,45,56,44.6%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,008.67",+$8.67,+0.17%,102,45,57,44.1%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,008.53",+$8.53,+0.17%,103,45,58,43.7%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,008.38",+$8.38,+0.17%,104,45,59,43.3%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,024.61",+$24.61,+0.49%,113,49,64,43.4%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,024.67",+$24.67,+0.49%,114,50,64,43.9%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,024.81",+$24.81,+0.50%,116,52,64,44.8%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,024.87",+$24.87,+0.50%,117,53,64,45.3%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,024.91",+$24.91,+0.50%,118,54,64,45.8%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,024.96",+$24.96,+0.50%,119,55,64,46.2%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,024.83",+$24.83,+0.50%,120,55,65,45.8%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,024.87",+$24.87,+0.50%,121,56,65,46.3%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,024.73",+$24.73,+0.49%,122,56,66,45.9%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,024.85",+$24.85,+0.50%,124,58,66,46.8%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,024.72",+$24.72,+0.49%,125,58,67,46.4%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,024.74",+$24.74,+0.49%,126,59,67,46.8%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,024.61",+$24.61,+0.49%,127,59,68,46.5%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,024.47",+$24.47,+0.49%,128,59,69,46.1%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,024.49",+$24.49,+0.49%,129,60,69,46.5%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,024.51",+$24.51,+0.49%,130,61,69,46.9%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,024.37",+$24.37,+0.49%,131,61,70,46.6%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,024.32",+$24.32,+0.49%,134,62,72,46.3%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,024.38",+$24.38,+0.49%,135,63,72,46.7%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,024.37",+$24.37,+0.49%,137,64,73,46.7%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,024.45",+$24.45,+0.49%,142,68,74,47.9%,PROFIT 🟢
2026-08-24,"$5,000.00","$5,024.59",+$24.59,+0.49%,156,76,80,48.7%,PROFIT 🟢
